# AUTO-BENCH v1 F6 novelty-stream (H1, the ratchet curve) - per-position log.
# REAL leg: session bench-f6c, cap 1.00 USD, tier-0 frontier:gpt-5.4-mini, ledger ~/.auto/spend.jsonl
# stream=evals\bench\f6-stream\stream.jsonl K=8 guard_alpha_milli=400
# tier: bootstrap-record = paid recording via evals/ticket-triage/agent.py (no artifact yet);
#       tier1 = guard proceed, compiled answer, marginal cost 0; tier0-deopt = guard trip, paid
#       frontier answer ingested into the store (the ratchet); abstain/error = honest failures.
# cost_usd_micros: bootstrap = reserved span attr from the store; tier0-deopt = spend-ledger
# delta for this session; tier1 = 0. latency_ms: bootstrap = recorded span duration (real API
# latency); tier0-deopt = the runtime's measured tier-0 wall time; tier1 = one-shot `auto run`
# wall time (process spawn + wasm compile included - the honest one-shot number; see README).
pos,category,text_sha12,distinct_seen,tier,guard_distance,latency_ms,cost_usd_micros,artifact_generation,answer
57,security,4ee6f6ed7ed0,10,deopt-agent-record,0.9045,925,60,1,bug
58,bug,c95d2df9836c,10,tier1,0.0000,111,0,1,bug
59,security,77d54dd9a67c,10,tier1,0.8036,73,0,1,bug
60,feature,85dc8b741c90,10,tier1,0.7923,316,0,1,feature
61,security,4ee6f6ed7ed0,10,deopt-agent-record,0.9045,1185,60,1,bug
62,security,4f493401f33b,10,deopt-agent-record,0.8988,912,63,1,bug
63,billing,f08ef09a72b6,10,tier1,0.0000,81,0,1,billing
64,bug,7c55b12b6d40,10,tier1,0.8551,74,0,1,bug
65,billing,f08ef09a72b6,10,tier1,0.0000,386,0,1,billing
66,bug,21e6c02f0cf9,10,tier1,0.0000,74,0,1,bug
67,billing,793f8e241429,10,tier1,0.0000,79,0,1,billing
68,security,45bab5f6ed00,11,deopt-agent-record,0.9286,882,58,1,bug
69,bug,5363b868787f,11,tier1,0.8714,621,0,1,bug
70,security,907876c2e9aa,12,deopt-agent-record,0.9351,948,61,1,bug
71,security,4ee6f6ed7ed0,12,deopt-agent-record,0.9045,1010,60,1,bug
72,security,2852dbe2ff73,13,deopt-agent-record,0.9097,1002,60,1,bug
73,billing,cfb98f978d8b,13,tier1,0.8690,70,0,1,billing
74,security,5415248e02e2,14,deopt-agent-record,0.9185,897,60,1,bug
75,bug,ce3ad56c2cf2,14,tier1,0.0000,277,0,1,bug
76,security,4ee6f6ed7ed0,14,deopt-agent-record,0.9045,925,60,1,bug
77,security,45bab5f6ed00,14,deopt-agent-record,0.9286,983,58,1,bug
78,security,4f493401f33b,14,deopt-agent-record,0.8988,865,63,1,bug
79,feature,68948e3c77c8,14,tier1,0.8936,294,0,1,feature
80,security,662c755241d1,15,deopt-agent-record,0.9329,902,59,1,bug
81,security,9c474aa4438c,15,tier1,0.8896,495,0,1,bug
82,security,f1e66211864a,15,tier1,0.8814,76,0,1,feature
83,security,3c5b0804dfe3,16,deopt-agent-record,0.9066,1029,57,1,bug
84,security,5eadfa45d7bf,17,deopt-agent-record,0.8950,1199,60,2,bug
85,feature,85dc8b741c90,17,tier1,0.7923,533,0,2,bug
86,security,45bab5f6ed00,17,tier1,0.0000,286,0,2,bug
87,billing,78a26c8bef69,17,tier1,0.8333,85,0,2,billing
88,security,3c5b0804dfe3,17,tier1,0.0000,73,0,2,bug
89,security,4ee6f6ed7ed0,17,tier1,0.0000,364,0,2,bug
90,security,45bab5f6ed00,17,tier1,0.0000,365,0,2,bug
91,security,2852dbe2ff73,17,tier1,0.0000,307,0,2,bug
92,bug,21e6c02f0cf9,17,tier1,0.0000,1358,0,2,bug
93,billing,17cb12f37f2c,17,tier1,0.0000,558,0,2,billing
94,security,5eadfa45d7bf,17,deopt-agent-record,0.8950,985,60,2,bug
95,feature,16311abe6402,17,tier1,0.8592,257,0,2,bug
96,feature,63ba506c4f68,17,tier1,0.0000,69,0,2,feature
97,feature,85dc8b741c90,17,tier1,0.7923,332,0,2,bug
98,bug,ce3ad56c2cf2,17,tier1,0.0000,355,0,2,bug
99,bug,ce3ad56c2cf2,17,tier1,0.0000,605,0,2,bug
100,feature,68948e3c77c8,17,tier1,0.8936,72,0,2,bug
101,feature,1b3eb767452a,17,tier1,0.8897,86,0,2,bug
102,bug,c95d2df9836c,17,tier1,0.0000,73,0,2,bug
103,feature,16311abe6402,17,tier1,0.8592,76,0,2,bug
104,billing,793f8e241429,17,tier1,0.0000,389,0,2,billing
105,bug,21e6c02f0cf9,17,tier1,0.0000,75,0,2,bug
106,billing,793f8e241429,17,tier1,0.0000,71,0,2,billing
107,security,5415248e02e2,17,tier1,0.0000,319,0,2,bug
108,bug,21e6c02f0cf9,17,tier1,0.0000,70,0,2,bug
109,feature,63ba506c4f68,17,tier1,0.0000,289,0,2,feature
110,billing,cfb98f978d8b,17,tier1,0.8690,345,0,2,billing
111,bug,ce3ad56c2cf2,17,tier1,0.0000,629,0,2,bug
112,bug,c95d2df9836c,17,tier1,0.0000,894,0,2,bug
113,security,77d54dd9a67c,17,tier1,0.8036,80,0,2,bug
114,security,2852dbe2ff73,17,tier1,0.0000,81,0,2,bug
115,feature,68948e3c77c8,17,tier1,0.8936,80,0,2,bug
116,bug,5363b868787f,17,tier1,0.8714,103,0,2,bug
117,billing,3f283840eeb8,17,tier1,0.7901,298,0,2,billing
118,bug,5363b868787f,17,tier1,0.8714,74,0,2,bug
119,feature,85dc8b741c90,17,tier1,0.7923,69,0,2,bug
120,onboarding,65e17160ea68,18,deopt-agent-record,0.8987,937,56,2,feature
121,onboarding,1c81d31bbc0b,19,deopt-agent-record,0.9187,1083,60,2,bug
122,feature,85dc8b741c90,19,tier1,0.7923,67,0,2,bug
123,bug,8f5076b17d0d,19,tier1,0.8792,321,0,2,bug
124,onboarding,65e17160ea68,19,deopt-agent-record,0.8987,1135,56,2,feature
125,billing,17cb12f37f2c,19,tier1,0.0000,135,0,2,billing
126,security,5415248e02e2,19,tier1,0.0000,399,0,2,bug
127,bug,21e6c02f0cf9,19,tier1,0.0000,319,0,2,bug
128,feature,1b3eb767452a,19,tier1,0.8897,318,0,2,bug
129,security,f1e66211864a,19,tier1,0.8683,545,0,2,bug
130,bug,5363b868787f,19,tier1,0.8714,641,0,2,bug
131,feature,68948e3c77c8,19,tier1,0.8936,73,0,2,bug
132,onboarding,1c81d31bbc0b,19,deopt-agent-record,0.9187,919,60,2,bug
133,bug,21e6c02f0cf9,19,tier1,0.0000,64,0,2,bug
134,onboarding,1c81d31bbc0b,19,deopt-agent-record,0.9187,1070,60,2,bug
135,security,3c5b0804dfe3,19,tier1,0.0000,83,0,2,bug
136,feature,596a467f9df0,19,tier1,0.0000,73,0,2,feature
137,onboarding,998c4ba59263,19,tier1,0.8780,76,0,2,bug
138,bug,21e6c02f0cf9,19,tier1,0.0000,65,0,2,bug
139,onboarding,1c81d31bbc0b,19,deopt-agent-record,0.9187,1003,60,2,bug
140,onboarding,998c4ba59263,19,tier1,0.8780,232,0,2,bug
141,onboarding,6d99f75cb7ae,20,deopt-agent-record,0.9091,1652,55,2,feature
142,security,f1e66211864a,20,tier1,0.8683,74,0,2,bug
143,onboarding,bff272947e20,21,deopt-agent-record,0.8963,1003,59,2,feature
144,feature,1b3eb767452a,21,tier1,0.8897,61,0,2,bug
145,onboarding,8667e6330646,21,tier1,0.8671,63,0,2,bug
146,feature,68948e3c77c8,21,tier1,0.8936,66,0,2,bug
147,onboarding,8962185b2d7f,21,tier1,0.8806,67,0,2,bug
148,onboarding,a0ba6e191d3a,22,deopt-agent-record,0.9098,829,58,2,feature
149,bug,c95d2df9836c,22,tier1,0.0000,69,0,2,bug
150,security,2852dbe2ff73,22,tier1,0.0000,69,0,2,bug
151,onboarding,98d321080eb1,23,deopt-agent-record,0.8980,896,57,2,feature
152,bug,7c55b12b6d40,23,tier1,0.8551,179,0,2,bug
153,bug,ce3ad56c2cf2,23,tier1,0.0000,326,0,2,bug
154,onboarding,ac28bf167850,24,deopt-agent-record,0.9161,972,55,2,feature
155,security,5eadfa45d7bf,24,tier1,0.0000,254,0,3,bug
156,billing,cfb98f978d8b,24,tier1,0.8690,336,0,3,bug
157,onboarding,b5d2e8f9b001,24,tier1,0.8333,310,0,3,feature
158,feature,63ba506c4f68,24,tier1,0.0000,575,0,3,feature
159,feature,596a467f9df0,24,tier1,0.0000,66,0,3,feature
160,onboarding,cce057678045,24,tier1,0.8519,75,0,3,bug
161,feature,63ba506c4f68,24,tier1,0.0000,70,0,3,feature
162,onboarding,65e17160ea68,24,tier1,0.0000,329,0,3,feature
163,bug,7c55b12b6d40,24,tier1,0.8551,79,0,3,bug
164,billing,3f283840eeb8,24,tier1,0.7901,345,0,3,bug
165,security,45bab5f6ed00,24,tier1,0.0000,371,0,3,bug
166,onboarding,1c81d31bbc0b,24,tier1,0.0000,597,0,3,bug
167,billing,cfb98f978d8b,24,tier1,0.8690,962,0,3,bug
168,billing,cfb98f978d8b,24,tier1,0.8690,94,0,3,bug
169,onboarding,bff272947e20,24,tier1,0.0000,80,0,3,feature
170,bug,c95d2df9836c,24,tier1,0.0000,72,0,3,bug
171,feature,596a467f9df0,24,tier1,0.0000,322,0,3,feature
172,feature,63ba506c4f68,24,tier1,0.0000,76,0,3,feature
173,security,4ee6f6ed7ed0,24,tier1,0.0000,368,0,3,bug
174,bug,21e6c02f0cf9,24,tier1,0.0000,357,0,3,bug
175,onboarding,1c81d31bbc0b,24,tier1,0.0000,308,0,3,bug
176,bug,c95d2df9836c,24,tier1,0.0000,565,0,3,bug
177,security,5eadfa45d7bf,24,tier1,0.0000,619,0,3,bug
178,feature,16311abe6402,24,tier1,0.8592,88,0,3,bug
179,onboarding,cce057678045,24,tier1,0.8519,80,0,3,bug
180,security,4ee6f6ed7ed0,24,tier1,0.0000,334,0,3,bug
181,bug,5363b868787f,24,tier1,0.8714,75,0,3,bug
182,billing,17cb12f37f2c,24,tier1,0.0000,337,0,3,billing
183,security,4f493401f33b,24,tier1,0.0000,339,0,3,bug
184,onboarding,1c81d31bbc0b,24,tier1,0.0000,599,0,3,bug
185,bug,7c55b12b6d40,24,tier1,0.8551,1172,0,3,bug
186,feature,16311abe6402,24,tier1,0.8592,72,0,3,bug
187,bug,21e6c02f0cf9,24,tier1,0.0000,69,0,3,bug
188,security,9c474aa4438c,24,tier1,0.8503,75,0,3,bug
189,feature,68948e3c77c8,25,deopt-agent-record,0.8936,1173,57,3,feature
190,onboarding,8667e6330646,25,tier1,0.8592,76,0,3,bug
191,billing,f08ef09a72b6,25,tier1,0.0000,69,0,3,billing
192,onboarding,998c4ba59263,25,tier1,0.8333,325,0,3,bug
193,billing,f08ef09a72b6,25,tier1,0.0000,71,0,3,billing
194,onboarding,8962185b2d7f,25,tier1,0.8806,327,0,3,bug
195,billing,cfb98f978d8b,25,tier1,0.8690,334,0,3,bug
196,billing,793f8e241429,25,tier1,0.0000,301,0,3,billing
197,security,2852dbe2ff73,25,tier1,0.0000,613,0,3,bug
198,bug,5363b868787f,25,tier1,0.8714,81,0,3,bug
199,security,662c755241d1,25,tier1,0.0000,69,0,3,bug
200,billing-fraud,3e24fdaa2019,25,tier1,0.8902,74,0,3,bug
201,billing,f08ef09a72b6,25,tier1,0.0000,308,0,3,billing
202,bug,8f5076b17d0d,25,tier1,0.8792,71,0,3,bug
203,billing-fraud,bb3afbf3fae0,26,deopt-agent-record,0.8933,1206,60,3,billing
204,billing,793f8e241429,26,tier1,0.0000,78,0,3,billing
205,feature,16311abe6402,26,tier1,0.8592,73,0,3,bug
206,billing-fraud,aa4621b71c34,26,tier1,0.8914,343,0,3,bug
207,security,5eadfa45d7bf,26,tier1,0.0000,68,0,3,bug
208,billing-fraud,adec52e9c436,26,tier1,0.8609,358,0,3,bug
209,bug,c95d2df9836c,26,tier1,0.0000,352,0,3,bug
210,billing-fraud,a8c1171b068d,26,tier1,0.8645,312,0,3,bug
211,security,662c755241d1,26,tier1,0.0000,648,0,3,bug
212,billing-fraud,f53c48b0f77c,26,tier1,0.8743,686,0,3,bug
213,onboarding,98d321080eb1,26,tier1,0.0000,91,0,3,feature
214,bug,8f5076b17d0d,26,tier1,0.8792,82,0,3,bug
215,billing-fraud,97fc8965221c,26,tier1,0.8903,398,0,3,bug
216,billing-fraud,bc6b900f6708,27,deopt-agent-record,0.9007,986,59,3,billing
217,bug,21e6c02f0cf9,27,tier1,0.0000,70,0,3,bug
218,security,5415248e02e2,27,tier1,0.0000,407,0,3,bug
219,billing-fraud,e1e33daccb45,27,tier1,0.8551,77,0,3,bug
220,security,2852dbe2ff73,27,tier1,0.0000,78,0,3,bug
221,security,5415248e02e2,27,tier1,0.0000,332,0,3,bug
222,onboarding,bff272947e20,27,tier1,0.0000,363,0,3,feature
223,onboarding,ac28bf167850,27,tier1,0.0000,353,0,3,feature
224,billing-fraud,bb3afbf3fae0,27,deopt-agent-record,0.8933,865,60,3,billing
225,billing,793f8e241429,27,tier1,0.0000,1163,0,3,billing
226,onboarding,1c81d31bbc0b,27,tier1,0.0000,573,0,3,bug
227,billing-fraud,bc6b900f6708,27,deopt-agent-record,0.9007,1062,59,3,billing
228,bug,5363b868787f,27,tier1,0.8714,320,0,3,bug
229,billing-fraud,bb3afbf3fae0,27,deopt-agent-record,0.8933,995,60,3,billing
230,feature,68948e3c77c8,27,deopt-agent-record,0.8936,953,57,3,feature
231,billing-fraud,efcfd0ceae7e,27,tier1,0.8533,143,0,3,bug
232,bug,ce3ad56c2cf2,27,tier1,0.0000,81,0,3,bug
233,billing-fraud,bc6b900f6708,27,deopt-agent-record,0.9007,935,59,3,billing
234,security,77d54dd9a67c,27,tier1,0.8036,120,0,3,bug
235,bug,5363b868787f,27,tier1,0.8714,291,0,3,bug
236,security,4ee6f6ed7ed0,27,tier1,0.0000,858,0,3,bug
237,billing-fraud,9ce7474d0b59,28,deopt-agent-record,0.8933,1133,60,3,billing
238,onboarding,a0ba6e191d3a,28,tier1,0.0000,266,0,3,feature
239,onboarding,1c81d31bbc0b,28,tier1,0.0000,316,0,3,bug
240,billing-fraud,a4faccf09ec1,28,tier1,0.8910,577,0,3,bug
241,onboarding,998c4ba59263,28,tier1,0.8333,76,0,3,bug
242,billing-fraud,cc8b30748245,28,tier1,0.8808,69,0,3,bug
243,feature,16311abe6402,28,tier1,0.8592,67,0,3,bug
244,billing,f08ef09a72b6,28,tier1,0.0000,63,0,3,billing
245,billing-fraud,88f99b8bf7e9,28,tier1,0.8701,67,0,3,bug
246,billing,cfb98f978d8b,28,tier1,0.8690,290,0,3,bug
247,feature,68948e3c77c8,28,deopt-agent-record,0.8936,6459,57,3,feature
248,bug,ce3ad56c2cf2,28,tier1,0.0000,312,0,3,bug
249,billing-fraud,3e24fdaa2019,28,tier1,0.8902,76,0,3,bug
250,billing-fraud,efcfd0ceae7e,28,tier1,0.8533,73,0,3,bug
251,billing,793f8e241429,28,tier1,0.0000,71,0,3,billing
252,feature,16311abe6402,28,tier1,0.8592,344,0,3,bug
253,onboarding,ac28bf167850,28,tier1,0.0000,67,0,3,feature
254,billing-fraud,cc8b30748245,28,tier1,0.8808,65,0,3,bug
255,security,5415248e02e2,28,tier1,0.0000,66,0,3,bug
256,bug,c95d2df9836c,28,tier1,0.0000,309,0,3,bug
257,billing,793f8e241429,28,tier1,0.0000,72,0,3,billing
258,billing,cfb98f978d8b,28,tier1,0.8690,66,0,3,bug
259,security,9c474aa4438c,28,tier1,0.8503,68,0,3,bug
260,security,9c474aa4438c,28,tier1,0.8503,328,0,3,bug
261,security,4ee6f6ed7ed0,28,tier1,0.0000,69,0,3,bug
262,security,45bab5f6ed00,28,tier1,0.0000,66,0,3,bug
263,feature,596a467f9df0,28,tier1,0.0000,70,0,3,feature
264,feature,16311abe6402,28,tier1,0.8592,354,0,3,bug
265,security,9c474aa4438c,28,tier1,0.8503,71,0,3,bug
266,onboarding,a0ba6e191d3a,28,tier1,0.0000,67,0,3,feature
267,billing-fraud,f53c48b0f77c,28,tier1,0.8743,73,0,3,bug
268,billing-fraud,f53c48b0f77c,28,tier1,0.8743,71,0,3,bug
269,feature,68948e3c77c8,28,deopt-agent-record,0.8936,1012,57,3,feature
270,onboarding,98d321080eb1,28,tier1,0.0000,258,0,3,feature
271,billing,3f283840eeb8,28,tier1,0.7901,70,0,3,bug
272,security,9c474aa4438c,28,tier1,0.8503,74,0,3,bug
273,security,f1e66211864a,28,tier1,0.8683,375,0,3,bug
274,security,9c474aa4438c,28,tier1,0.8503,74,0,3,bug
275,bug,7c55b12b6d40,28,tier1,0.8551,70,0,3,bug
276,billing-fraud,efcfd0ceae7e,28,tier1,0.8533,362,0,3,bug
277,onboarding,8667e6330646,28,tier1,0.8592,74,0,3,bug
278,billing-fraud,a8c1171b068d,28,tier1,0.8645,377,0,3,bug
279,security,4f493401f33b,28,tier1,0.0000,75,0,3,bug
280,feature,1b3eb767452a,28,tier1,0.8897,320,0,3,bug
281,bug,21e6c02f0cf9,28,tier1,0.0000,69,0,3,bug
282,feature,1b3eb767452a,28,tier1,0.8897,63,0,3,bug
283,feature,596a467f9df0,28,tier1,0.0000,323,0,3,feature
284,bug,c95d2df9836c,28,tier1,0.0000,76,0,3,bug
285,security,5415248e02e2,28,tier1,0.0000,69,0,3,bug
286,billing-fraud,88f99b8bf7e9,28,tier1,0.8701,329,0,3,bug
287,billing,cfb98f978d8b,28,tier1,0.8690,67,0,3,bug
288,billing,cfb98f978d8b,28,tier1,0.8690,68,0,3,bug
289,onboarding,cce057678045,28,tier1,0.8519,69,0,3,bug
290,security,4ee6f6ed7ed0,28,tier1,0.0000,65,0,3,bug
291,security,9c474aa4438c,28,tier1,0.8503,71,0,3,bug
292,billing-fraud,a4faccf09ec1,28,tier1,0.8910,324,0,3,bug
293,billing-fraud,9ce7474d0b59,28,deopt-agent-record,0.8933,1003,60,3,billing
294,billing-fraud,e1e33daccb45,28,tier1,0.8551,69,0,3,bug
295,billing-fraud,adec52e9c436,28,tier1,0.8609,65,0,3,bug
296,billing-fraud,97fc8965221c,28,tier1,0.8903,354,0,3,bug
297,billing-fraud,aa4621b71c34,28,tier1,0.8914,72,0,3,bug
298,onboarding,b5d2e8f9b001,28,tier1,0.8333,71,0,3,feature
299,onboarding,6d99f75cb7ae,28,tier1,0.0000,72,0,3,feature
300,security,907876c2e9aa,28,tier1,0.0000,66,0,3,bug
